nome,ano,nota,votos,descricao,generos
1. Red Dead Redemption II,2018,9.7,(65K),"Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.","['Action', 'Adventure', 'Crime']"
2. The Last of Us,2013,9.7,(82K),"In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.","['Action', 'Adventure', 'Drama']"
3. The Last of Us: Part I,2022,9.7,(10K),"Experience the emotional storytelling and unforgettable characters in The Last of Us, winner of over 200 Game of the Year awards, now rebuilt from the ground up for the PlayStation 5 console.","['Action', 'Adventure', 'Drama']"
4. Baldur's Gate III,2023,9.6,(7.3K),"Return to Faerun in a tale of fellowship and betrayal, and the lure of absolute power. Mysterious abilities are awakening inside you. Resist, and turn darkness against itself, or, embrace corruption, and become ultimate evil.","['Action', 'Adventure', 'Drama']"
5. God of War: Ragnarök,2022,9.6,(21K),"Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.","['Action', 'Adventure', 'Drama']"
6. The Witcher 3: Wild Hunt,2015,9.6,(36K),"The monster slayer Geralt of Rivia must find his adoptive daughter who is being pursued by the Wild Hunt, and prevent the White Frost from bringing about the end of the world.","['Action', 'Adventure', 'Drama']"
7. Metal Gear Solid,1998,9.6,(13K),"A crack government anti-terrorist squad takes over an obscure Alaskan nuclear disposal facility. Solid Snake is up for the task to infiltrate the facility, rescue the two hostages and thwart the terrorists' plans.","['Action', 'Adventure', 'Drama']"
8. The Legend of Zelda: Ocarina of Time,1998,9.6,(11K),A young Kokiri boy discovers that his destiny is to free the Seven Sages and save the land of Hyrule from the treacherous sorcerer Ganondorf.,"['Action', 'Adventure', 'Fantasy']"
9. Mass Effect: Legendary Edition,2021,9.6,(3.4K),A compilation of the first three Mass Effect games.,"['Action', 'Adventure', 'Drama']"
10. Dark Souls: Prepare to Die Edition,2012,9.6,(8),"It is said that one day, a Chosen Undead will appear, and a great change will occur in the world. One of the many undead manages to escape the asylum he was locked in, which is seen as the first sign for the role he will eventually play.","['Action', 'Adventure', 'Fantasy']"
